HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SUPPORT_CODE	SUPPORT_NO	HANGER_SIZE	HANGER_HEIGHT	TRO_ANGLE	HANGER_LENGTH	HANGER_TYPE_LABEL	SystemId	Description	DimensionalDescription	Material	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	Object Length	SLOPE ANGLE	Object Weight
'2AA625	ELECT_BRACKET	3D2S	F	<>	<>	<>	<>	I-40-14	008	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AA516	ELECT_BRACKET	3D2S	F	<>	<>	<>	<>	I-40-95	003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2AA3F0	ELECT_BRACKET	3D2S	D	<>	<>	<>	<>	I-40-95/42	007	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A9CD8	ELECT_BRACKET	3D2S	B	<>	<>	<>	<>	I-40-95	003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A9C65	ELECT_BRACKET	3D2S	B	<>	<>	<>	<>	I-40-42	006	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A9456	ELECT_BRACKET	3D2P	H	<>	<>	<>	<>	I-40-95	003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A9224	ELECT_BRACKET	3D2P	E	<>	<>	<>	<>	I-40-95/80	005	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A916E	ELECT_BRACKET	3D2P	E	<>	<>	<>	<>	I-40-95/24	004	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A90FA	ELECT_BRACKET	3D2P	E	<>	<>	<>	<>	I-40-95	003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A901A	ELECT_BRACKET	3D2P	C	<>	<>	<>	<>	E-51.5-70	002	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A2FFE	ELECT_CWAY_TRAYBLOCK_A	3D2P	C	To-40-13.7	H=700	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A8A0B	ELECT_BRACKET	3D2P	C	<>	<>	<>	<>	E-51.5-70	002	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A7D36	ELECT_BRACKET	3D2P	A	<>	<>	<>	<>	I-40-70	001	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A7C63	ELECT_BRACKET	3D2P	A	<>	<>	<>	<>	I-40-70	001	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A7B1E	ELECT_CWAY_TRAYBLOCK_A	3D2S	Q	To-15-5	H=600	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A7AC5	ELECT_CWAY_TRAYBLOCK_A	3D2S	R	To-15-10	H=600	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A7A13	ELECT_HANGER_S-TYPE	3D2S	01	<>	<>	NO	<>	<>	<>	300A	H=850	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A7892	ELECT_CWAY_TRAYBLOCK_A	3D2S	P	To-15-5	H=600	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A77CD	ELECT_HANGER_S-TYPE	3D2P	03	<>	<>	NO	<>	<>	<>	400Ax2	H=850	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A63F6	ELECT_CWAY_TRAYBLOCK_A	3D2S	O	To-30-11.9		NO	O	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A6061	ELECT_CWAY_TRAYBLOCK_A	3D2S	N	To-30-4.8	H=700	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A5FD9	ELECT_CWAY_TRAYBLOCK_A	3D2S	M	To-30-5.4	H=700	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A5E78	ELECT_CWAY_TRAYBLOCK_A	3D2S	L	To-30-6	H=700	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A5C8D	ELECT_CWAY_TRAYBLOCK_A	3D2S	J	To-30-24.4		NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A5846	ELECT_CWAY_TRAYBLOCK_A	3D2S	A	To-40-3	H=950	YES	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A4E95	ELECT_CWAY_TRAY_BLOCK_TRO	3D2S	H	TRo-30	H=950	NO	<>	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A4E1F	ELECT_CWAY_TRAYBLOCK_A	3D2S	G	To-30-6	H=950	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A4CD9	ELECT_CWAY_TRAY_BLOCK_TRO	3D2S	E	TRo-40	H=950	NO	<>	<>	<>	<>	<>	15	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A4BE6	ELECT_CWAY_TRAYBLOCK_A	3D2S	D	To-40-13.4	H=950	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A4B8E	ELECT_CWAY_TRAY_BLOCK_TRO	3D2S	C	TRo-40	H=950	NO	<>	<>	<>	<>	<>	15	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A49E5	ELECT_CWAY_TRAYBLOCK_A	3D2P	Q	To-30-14.9		YES	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A3E22	ELECT_CWAY_TRAYBLOCK_A	3D2P	P	To-50-14.2	H=850	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A38CC	ELECT_CWAY_TRAY_BLOCK_TRO	3D2P	K	TRo-50	H=950	NO	<>	<>	<>	<>	<>	30	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A323C	ELECT_CWAY_TRAYBLOCK_A	3D2P	H	To-40-15.3	H=950	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A320C	ELECT_CWAY_TRAY_BLOCK_TRO	3D2P	G	TRo-40	H=950	NO	<>	<>	<>	<>	<>	35	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A3105	ELECT_CWAY_TRAYBLOCK_A	3D2P	E	To-40-24.4	H=950	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A3057	ELECT_CWAY_TRAY_BLOCK_TRO	3D2P	D	TRo-40	H=950	NO	<>	<>	<>	<>	<>	55	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2A2FA5	ELECT_CWAY_TRAY_BLOCK_TRO	3D2P	B	TRo-40	H=700	NO	<>	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'28948F	ELECT_CWAY_TRAYBLOCK_A	3D1	C	To-40-7.9	H=950	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'291A02	ELECT_CWAY_TRAYBLOCK_A	3D1	A	To-40-4.1	H=950	YES	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'291743	ELECT_CWAY_TRAY_BLOCK_TRO	3D1	J	TRo-30	H=950	NO	<>	<>	<>	<>	<>	50	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'28A26F	ELECT_HANGER_S-TYPE	3D1	01	<>	<>	NO	<>	<>	<>	250A	H=850	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'289D3C	ELECT_HANGER_S-TYPE	3D1	02	<>	<>	NO	<>	<>	<>	500A	H=840	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2895A4	ELECT_CWAY_TRAY_BLOCK_TRO	3D1	B	TRo-40	H=950	NO	<>	<>	<>	<>	<>	45	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'289419	ELECT_CWAY_TRAY_BLOCK_TRO	3D1	D	TRo-40	H=950	NO	<>	<>	<>	<>	<>	45	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2893C3	ELECT_CWAY_TRAYBLOCK_A	3D1	E	To-40-24.4	H=950	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'289363	ELECT_CWAY_TRAYBLOCK_A	3D1	F	To-40-24.4	H=950	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'289107	ELECT_CWAY_TRAYBLOCK_A	3D1	I	To-30-17.5	H=950	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2892E7	ELECT_CWAY_TRAYBLOCK_A	3D1	G	To-40-24.4	H=950	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'289263	ELECT_CWAY_TRAY_BLOCK_TRO	3D1	H	TRo-30	H=950	NO	<>	<>	<>	<>	<>	40	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'278422	zw$258F	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	MO-LADDERS & GRATINGS	EQUAL ANGLE BAR	L65x6	SS	16076	3821	8925	469	0	2.772
'2B2C08	ELECT_HANGER_SX-TYPE	3D2S	02	<>	<>	NO	<>	<>	<>	150A	H=300	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
