HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SUPPORT_CODE	SUPPORT_NO	HANGER_SIZE	HANGER_HEIGHT	TRO_ANGLE	HANGER_LENGTH	HANGER_TYPE_LABEL	SystemId	Description	DimensionalDescription	Material	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	Object Length	SLOPE ANGLE	Object Weight
'2E02BB	ELECT_CWAY_TRAYBLOCK_A	2D2P	AC	To-15-20.9	H=400	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E321A	ELECT_HANGER_SX-TYPE	2D2P	21	<>	<>	NO	<>	<>	<>	300A	H=315	<>	<>	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2F02E0	ELECT_HANGER_S-TYPE	2D2P	27	<>	<>	NO	<>	<>	<>	150A	H=500	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2F02C5	ELECT_HANGER_H-TYPE	2D2P	26	<>	<>	NO	<>	<>	<>	150A	(H=240)	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2EFE39	ELECT_BRACKET	2D2P	AM	<>	<>	<>	<>	I-15-30	135	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2EFCAF	ELECT_CWAY_TRAYBLOCK_A	2D2P	AM	To-15-9	H=300	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E3470	ELECT_HANGER_SX-TYPE	2D2P	25	<>	<>	NO	<>	<>	<>	250A	H=410	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E3362	ELECT_HANGER_SX-TYPE	2D2P	24	<>	<>	NO	<>	<>	<>	500A	H=410	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E32EB	ELECT_HANGER_SX-TYPE	2D2P	23	<>	<>	NO	<>	<>	<>	400A	H=410	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E3273	ELECT_HANGER_SX-TYPE	2D2P	22	<>	<>	NO	<>	<>	<>	200A	H=410	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E2D4F	ELECT_BRACKET	2D1P	D	<>	<>	<>	<>	U-60-85	110	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E28A3	ELECT_HANGER_SX-TYPE	2D2P	16	<>	<>	NO	<>	<>	<>	250A	H=400	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E284B	ELECT_HANGER_SX-TYPE	2D2P	20	<>	<>	NO	<>	<>	<>	300A	H=400	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E27F2	ELECT_HANGER_SX-TYPE	2D2P	16	<>	<>	NO	<>	<>	<>	250A	H=400	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E227B	ELECT_HANGER_SX-TYPE	2D2P	19	<>	<>	NO	<>	<>	<>	400A	H=375	<>	<>	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E216C	ELECT_HANGER_SX-TYPE	2D2P	17	<>	<>	NO	<>	<>	<>	500A	H=375	<>	<>	TYPE "X2"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E203A	ELECT_BRACKET	2D2P	U	<>	<>	<>	<>	U-60-24	112	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1DDF	ELECT_BRACKET	2D2P	O	<>	<>	<>	<>	U-60-29	118	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1DD9	ELECT_BRACKET	2D2P	O	<>	<>	<>	<>	E-71-85/55	107	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1CCF	ELECT_CWAY_TRAYBLOCK_A	2D2P	U	To-60-11.8		NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1C78	ELECT_HANGER_SX-TYPE	2D2P	16	<>	<>	NO	<>	<>	<>	250A	H=400	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1C1E	ELECT_HANGER_SX-TYPE	2D2P	15	<>	<>	NO	<>	<>	<>	200A	H=400	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1B1A	ELECT_BRACKET	2D2P	AL	<>	<>	<>	<>	I-15-40	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1A6A	ELECT_BRACKET	2D2P	AJ	<>	<>	<>	<>	I-15-40	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1A11	ELECT_BRACKET	2D2P	AJ	<>	<>	<>	<>	I-15-25	134	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E19AB	ELECT_BRACKET	2D2P	AH	<>	<>	<>	<>	I-15-40	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E19A5	ELECT_BRACKET	2D2P	AG	<>	<>	<>	<>	I-15-40	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E194A	ELECT_BRACKET	2D2P	AF	<>	<>	<>	<>	I-15-40	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E187B	ELECT_BRACKET	2D2P	AE	<>	<>	<>	<>	I-15-40	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E16D1	ELECT_BRACKET	2D2P	AC	<>	<>	<>	<>	I-15-40	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E16A3	ELECT_BRACKET	2D2P	AC	<>	<>	<>	<>	I-15-40	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E1626	ELECT_BRACKET	2D2P	AA	<>	<>	<>	<>	E-25-40/10	132	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E0ED7	ELECT_CWAY_TRAYBLOCK_A	2D2P	AL	To-15-7	H=400	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E0E62	ELECT_CWAY_TRAY_BLOCK_TRO	2D2P	AK	TRo-15	H=400	NO	<>	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E0D5D	ELECT_CWAY_TRAY_BLOCK_TRO	2D2P	AI	TRo-15	H=400	NO	<>	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E0C55	ELECT_CWAY_TRAYBLOCK_A	2D2P	AH	To-15-11	H=400	NO	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2E028B	ELECT_CWAY_TRAY_BLOCK_TRO	2D2P	AB	TRo-15	H=400	NO	<>	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2DD7D3	ELECT_CWAY_TRAY_BLOCK_TRO	2D1P	J	TRo-25	H=550	NO	<>	<>	<>	<>	<>	40	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2DD77B	ELECT_CWAY_TRAY_BLOCK_TRO	2D1P	H	TRo-25	H=750	NO	<>	<>	<>	<>	<>	40	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2DD3D4	ELECT_HANGER_S-TYPE	2D2P	14	<>	<>	NO	<>	<>	<>	600Ax2	H=300	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2DBE0E	ELECT_HANGER_SX-TYPE	2D1P	01	<>	<>	NO	<>	<>	<>	300A	H=300	<>	<>	TYPE "X1"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2DAEBC	ELECT_HANGER_H-TYPE	2D2P	13	<>	<>	NO	<>	<>	<>	500Ax2	(H=400/250)	<>	(2100)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2DADAE	ELECT_HANGER_H-TYPE	2D2P	12	<>	<>	NO	<>	<>	<>	500Ax2	(H=400)	<>	(1200)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2DA779	ELECT_HANGER_H-TYPE	2D2P	11	<>	<>	NO	<>	<>	<>	400Ax2	(H=280)	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2D77DC	ELECT_HANGER_H-TYPE	2D2P	10	<>	<>	NO	<>	<>	<>	400Ax2	(H=280)	<>	(1500)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2D74C3	ELECT_HANGER_SX-TYPE	2D2P	09	<>	<>	NO	<>	<>	<>	200A	DH=200	<>	<>	TYPE "S3"	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2D6EDB	ELECT_HANGER_H-TYPE	2D2P	07	<>	<>	NO	<>	<>	<>	200A	(H=100)	<>	(2700)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2D6BE0	ELECT_CWAY_TRAYBLOCK_A	2D2P	T	To-60-4.5	H=750	NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2D677D	ELECT_BRACKET	2D2P	T	<>	<>	<>	<>	U-60-75	131	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2D6631	ELECT_BRACKET	2D2P	N	<>	<>	<>	<>	E-71-85/70	119	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'2D5DAA	ELECT_HANGER_S-TYPE	2D2P	02	<>	<>	NO	<>	<>	<>	200A	H=275/140	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
