HANDLE	BLOCKNAME	BLOCK	NO	TRAY_SIZE	TRAY_HEIGHT	AT_SITE	NO_OF_LUGS	SystemId	SUPPORT_CODE	SUPPORT_NO	TRO_ANGLE	HANGER_SIZE	HANGER_HEIGHT	HANGER_TYPE_LABEL	HANGER_LENGTH	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	SLOPE ANGLE	Object Weight
'B1D9D91	ELECT_BRACKET	6A1	E	<>	<>	<>	<>	<>	I-25-30	802	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9D40	ELECT_BRACKET	6A1	D	<>	<>	<>	<>	<>	I-15-35	805	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9CEF	ELECT_BRACKET	6A1	D	<>	<>	<>	<>	<>	I-15-35	805	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9C9E	ELECT_BRACKET	6A1	C	<>	<>	<>	<>	<>	I-20-25	804	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9C4D	ELECT_BRACKET	6A1	C	<>	<>	<>	<>	<>	I-20-35	803	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9BFC	ELECT_BRACKET	6A1	C	<>	<>	<>	<>	<>	I-20-35	803	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9BAB	ELECT_BRACKET	6A1	B	<>	<>	<>	<>	<>	I-25-35	800	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9B5A	ELECT_BRACKET	6A1	B	<>	<>	<>	<>	<>	I-25-25	801	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9B09	ELECT_BRACKET	6A1	B	<>	<>	<>	<>	<>	I-25-25	801	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9AAC	ELECT_BRACKET	6A1	A	<>	<>	<>	<>	<>	I-25-35	800	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1D9A59	ELECT_CWAY_TRAYBLOCK_A	6A1	E	To-25-11.9		NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1C2A90	ELECT_CWAY_TRAYBLOCK_A	6A1	C	To-20-24.4		NO	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1C2A39	ELECT_CWAY_TRAYBLOCK_A	6A1	B	To-25-18	H=350	NO	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1C29E2	ELECT_CWAY_TRAY_BLOCK_TRO	6A1	A	TRo-25	H=350	NO	<>	<>	<>	<>	90	<>	<>	<>	<>	<>	<>	<>	<>	<>
'B1B81C9	C D1639474783_HG615c6ff7537749848e781e30c5915d59_1	<>	<>	<>	<>	<>	<>	INAO_Wooden Furniture	<>	<>	<>	<>	<>	<>	<>	19526.8	4668.35	29457	0	0.0000
'B1DCA80	ELECT_HANGER_H-TYPE	4A1P	12	<>	<>	NO	<>	<>	<>	<>	<>	500Ax2	(H=180)	<>	(1800)	<>	<>	<>	<>	<>
'B1E0350	ELECT_CWAY_TRAYBLOCK_A	2A1S	A	To-30-3	H=500	YES	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
