HANDLE	BLOCKNAME	BLOCK	NO	HANGER_SIZE	HANGER_HEIGHT	AT_SITE	HANGER_TYPE_LABEL	HANGER_LENGTH	TRAY_SIZE	TRAY_HEIGHT	TRO_ANGLE	SUPPORT_CODE	SUPPORT_NO	NO_OF_LUGS	SystemId	Description	DimensionalDescription	Local origin`s x-coord	Local origin`s y-coord	Local origin`s z-coord	SLOPE ANGLE	Object Weight	spoolName	PipelineId	Material
'33DB4B	ELECT_HANGER_HV-TYPE	3D2S	03	500A	H=250	NO	TYPE "V1"	L=300	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D6C7	ELECT_CWAY_TRAYBLOCK_A	2D1S	M	<>	<>	NO	<>	<>	To-20-24.4	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33DB55	ELECT_CWAY_TRAYBLOCK_A	3D2S	H	<>	<>	NO	<>	<>	To-50-4	H=950	<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D6B4	ELECT_CWAY_TRAY_BLOCK_TRO	2D1S	L	<>	<>	NO	<>	<>	TRo-20	H=950	30	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D6A5	ELECT_CWAY_TRAYBLOCK_A	2D1S	K	<>	<>	NO	<>	<>	To-20-5.2	H=950	<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D4F3	ELECT_BRACKET	2D1P	J	<>	<>	<>	<>	<>	<>	<>	<>	I-40-45	121	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D692	ELECT_CWAY_TRAYBLOCK_A	2D1S	H	<>	<>	NO	<>	<>	To-30-13.5		<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D67F	ELECT_CWAY_TRAYBLOCK_A	2D1S	I	<>	<>	NO	<>	<>	To-15-7	H=850	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D4D0	ELECT_CWAY_TRAY_BLOCK_TRO	CTL	I	<>	<>	NO	<>	<>	TRo-15	H=400	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D661	ELECT_CWAY_TRAY_BLOCK_TRO	2D1S	J	<>	<>	NO	<>	<>	TRo-20	H=950	30	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D659	ELECT_CWAY_TRAYBLOCK_A	2D1S	G	<>	<>	NO	<>	<>	To-40-24.4		<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D651	ELECT_CWAY_TRAYBLOCK_A	2D1S	F	<>	<>	NO	<>	<>	To-40-17.5	H=750	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D643	ELECT_CWAY_TRAY_BLOCK_TRO	2D1S	E	<>	<>	NO	<>	<>	TRo-40	H=750	50	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D63B	ELECT_CWAY_TRAYBLOCK_A	2D1S	D	<>	<>	NO	<>	<>	 To-40-12.7	H=750	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D628	ELECT_CWAY_TRAYBLOCK_A	2D1S	C	<>	<>	NO	<>	<>	 To-40-7	H=750	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D620	ELECT_CWAY_TRAYBLOCK_A	2D1S	B	<>	<>	NO	<>	<>	To-60-24.4	H=850	<>	<>	<>	2	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D608	ELECT_CWAY_TRAYBLOCK_A	2D1S	A	<>	<>	YES	<>	<>	To-60-7.5	H=850	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D5E4	ELECT_BRACKET	2D1P	I	<>	<>	<>	<>	<>	<>	<>	<>	U-60-85	131	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D5C3	ELECT_HANGER_S-TYPE	2D2P	05	500Ax2	(H=300)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D5BB	ELECT_HANGER_H-TYPE	2D2P	06	500Ax2	(H=300)	NO	<>	(2100)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D5B3	ELECT_HANGER_H-TYPE	2D2P	07	500Ax2	(H=300)	NO	<>	(1200)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D5A6	ELECT_HANGER_S-TYPE	2D2P	05	500Ax2	(H=300)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D594	ELECT_HANGER_S-TYPE	2D2P	10	500Ax2	(H=550)	NO	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D58C	ELECT_HANGER_H-TYPE	2D2P	09	500Ax2	(H=430)	NO	<>	(1800)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D584	ELECT_HANGER_H-TYPE	2D2P	08	500Ax2	(H=385/275)	NO	<>	(1500)	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33DA0D	ELECT_CWAY_TRAYBLOCK_A	3D2P	K	<>	<>	NO	<>	<>	To-50-15	H=950	<>	<>	<>	1	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D4DE	ELECT_CWAY_TRAY_BLOCK_TRO	CTL	K	<>	<>	NO	<>	<>	TRo-15	H=400	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D4C2	ELECT_CWAY_TRAY_BLOCK_TRO	CTL	D	<>	<>	NO	<>	<>	TRo-15	H=400	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D49B	ELECT_CWAY_TRAY_BLOCK_TRO	2D2P	H	<>	<>	NO	<>	<>	TRo-60	H=850	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D9C7	ELECT_CWAY_TRAY_BLOCK_TRO	3D2P	T	<>	<>	NO	<>	<>	TRo-50	H=950	30	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D48E	ELECT_CWAY_TRAY_BLOCK_TRO	2D1P	D	<>	<>	NO	<>	<>	TRo-25	H=750	60	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A08F	ELECT_BRACKET	2D2P	B	<>	<>	<>	<>	<>	<>	<>	<>	I-40-95/19	126	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D474	ELECT_CWAY_TRAY_BLOCK_TRO	UD1P	B	<>	<>	NO	<>	<>	TRo-15	H=600	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D481	ELECT_CWAY_TRAY_BLOCK_TRO	2D1P	H	<>	<>	YES	<>	<>	TRo-60	H=850	90	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D879	ELECT_BRACKET	2D2S	D	<>	<>	<>	<>	<>	<>	<>	<>	I-30-95	117	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A056	ELECT_CWAY_TRAYBLOCK_A	2D2P	D	<>	<>	NO	<>	<>	To-40-9.4	H=850	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A135	ELECT_BRACKET	2D1P	D	<>	<>	<>	<>	<>	<>	<>	<>	I-25-75	112	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339FF2	ELECT_BRACKET	2D2P	G	<>	<>	<>	<>	<>	<>	<>	<>	U-60-95	111	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'339F8C	ELECT_BRACKET	2D2P	I	<>	<>	<>	<>	<>	<>	<>	<>	I-20-75	108	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33D7D7	ELECT_BRACKET	2D1S	A	<>	<>	<>	<>	<>	<>	<>	<>	U-60-70	130	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A0A6	ELECT_CWAY_TRAYBLOCK_A	2D2P	A	<>	<>	YES	<>	<>	To-40-3	H=950	<>	<>	<>	0	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A0A0	ELECT_BRACKET	2D2P	B	<>	<>	<>	<>	<>	<>	<>	<>	I-40-95/19	126	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'33A06D	ELECT_BRACKET	2D2P	C	<>	<>	<>	<>	<>	<>	<>	<>	E-52-95/19	101	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
